City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,24.43,44,44,6.14,AU,1670133626
1,bredasdorp,-34.5322,20.0403,17.12,53,6,1.09,ZA,1670134070
2,punta arenas,-53.15,-70.9167,5.06,75,40,5.66,CL,1670134070
3,pangai,-19.8,-174.35,27.32,79,100,5.08,TO,1670134071
4,mataura,-46.1927,168.8643,10.27,92,100,3.03,NZ,1670134071
5,kapaa,22.0752,-159.319,25.99,86,40,5.14,US,1670133942
6,tasiilaq,65.6145,-37.6368,2.09,97,100,2.59,GL,1670134072
7,jamestown,42.097,-79.2353,0.77,61,100,5.14,US,1670133992
8,namatanai,-3.6667,152.4333,28.79,70,64,2.94,PG,1670134072
9,pacific grove,36.6177,-121.9166,11.68,93,100,2.24,US,1670134072
10,opuwo,-18.0607,13.84,25.15,28,22,1.83,NA,1670134073
11,olinda,-8.0089,-34.8553,25.12,81,22,6.05,BR,1670133820
12,dublin,37.7021,-121.9358,10.3,96,100,0.0,US,1670134073
13,san juan,-31.5375,-68.5364,27.42,28,100,2.63,AR,1670133854
14,rikitea,-23.1203,-134.9692,23.61,82,11,6.68,PF,1670133933
15,mandalgovi,45.7625,106.2708,-12.18,35,0,5.36,MN,1670134073
16,atar,20.5169,-13.0499,16.64,28,0,1.67,MR,1670134074
17,ushuaia,-54.8,-68.3,0.83,97,57,2.21,AR,1670134074
18,port elizabeth,-33.918,25.5701,19.06,82,100,1.34,ZA,1670133803
19,butaritari,3.0707,172.7902,27.2,80,32,6.74,KI,1670133975
20,dikson,73.5069,80.5464,-1.37,94,100,9.75,RU,1670134075
21,katy,29.7858,-95.8244,17.86,72,100,3.6,US,1670133962
22,chaykovskaya,58.1279,55.5378,-13.06,93,97,3.28,RU,1670134075
23,santiago,-33.4569,-70.6483,21.59,51,0,2.06,CL,1670133926
24,cockburn town,21.4612,-71.1419,26.0,65,3,8.38,TC,1670133908
25,san cristobal,7.7669,-72.225,17.62,95,97,1.54,VE,1670134076
26,hamilton,39.1834,-84.5333,-1.06,72,30,0.89,US,1670133478
